1402577545	10723
1402577605	10726
1402577665	10726
1402577725	10730
1402577785	10732
1402577845	10734
1402577905	10737
1402577965	10738
1402578025	10738
1402578085	10739
1402578145	10739
1402578205	10740
1402578265	10741
1402578325	10742
1402578385	10743
1402578445	10743
1402578505	10743
1402578565	10743
1402578625	10743
1402578685	10745
1402578745	10745
1402578805	10745
1402578865	10747
1402578925	10747
1402578985	10747
1402579045	10749
1402579105	10751
1402579165	10754
1402579225	10755
1402579285	10756
1402579345	10757
1402579405	10758
1402579465	10758
1402579525	10758
1402579585	10758
1402579645	10760
1402579705	10762
1402579766	10762
1402579826	10763
1402579886	10763
1402579947	10764
1402580007	10767
1402580067	10767
1402580127	10767
1402580188	10769
1402580248	10769
1402580308	11769
1402580369	11770
1402580429	11772
1402580489	11773
1402580550	11775
1402580610	11776
1402580670	11779
1402580731	11780
1402580791	11781
1402580851	11782
1402580912	11787
1402580972	11787
1402581032	11788
1402581093	11790
1402581153	11791
1402581213	11792
1402581274	11795
1402581308	11797
1402581339	11798
1402581415	11806
1402581475	11812
1402581536	11816
1402581583	11820
1402581644	11821
1402581704	11823
1402581765	11825
1402581825	11828
1402582013	11835
1402582074	11838
1402582134	11839
1402582195	11841
1402582255	11842
1402582316	11849
1402582376	11854
1402582436	11856
1402582497	11857
1402582557	11858
1402582618	11861
1402582678	11864
1402582738	11864
1402582799	11866
1402582859	11866
1402582920	11869
1402582980	11870
1402583040	11870
1402583101	11873
1402583161	11875
1402583222	11877
1402583282	11879
1402583342	11881
1402583403	11883
1402583463	11885
1402583523	11889
1402583584	11892
1402583644	11893
1402583705	11897
1402583765	11900
1402583825	11903
1402583886	11903
1402583946	11903
1402584007	11905
1402584067	11905
1402584128	11906
1402584188	11908
1402584248	11911
1402584309	11914
1402584369	11916
1402584430	11919
1402584490	11920
1402584550	11922
1402584611	11925
1402584671	11928
1402584732	11930
1402584792	11931
1402584853	11933
1402584913	11934
1402584973	11935
1402585034	11936
1402585094	11938
1402585154	11939
1402585215	11940
1402585278	11943
1402585346	11945
1402585406	11946
1402585467	11949
1402585527	11951
1402585587	11953
1402585648	11953
1402585708	11953
1402585769	11954
1402585829	11956
1402585889	11957
1402585950	11958
1402586010	11958
1402586071	11959
1402586131	11960
1402586192	11962
1402586252	11964
1402586313	11964
1402586373	11965
1402586434	11966
1402586494	11968
1402586554	11968
1402586615	11969
1402586675	11971
1402586736	11973
1402586796	11975
1402586857	11985
1402586917	11988
1402586977	11988
1402587038	11991
1402587098	11993
1402587159	11995
1402587219	11997
1402587279	11997
1402587340	11997
1402587400	11998
1402587461	11998
1402587521	12000
1402587582	12001
1402587642	12004
1402587702	12005
1402587763	12006
1402587823	12006
1402587883	12008
1402587944	12008
1402588005	12009
1402588066	12013
1402588126	12014
1402588187	12016
1402588247	12017
1402588307	12029
1402588368	12030
1402588428	12031
1402588489	12032
1402588548	12034
1402588609	12036
1402588669	12038
1402588730	12042
1402588790	12046
1402588850	12049
1402588911	12051
1402588971	12053
1402589032	12053
1402589092	12055
1402589152	12057
1402589213	12059
1402589274	12060
1402589334	12061
1402589394	12061
1402589455	12062
1402589515	12062
1402589575	12063
1402589637	12064
1402589697	12064
1402589757	12067
1402589818	12067
1402589878	12068
1402589939	12070
1402589999	12071
1402590059	12073
1402590120	12075
1402590180	12080
1402590240	12082
1402590301	12084
1402590361	12086
1402590422	12087
1402590482	12092
1402590543	12094
1402590603	12095
1402590664	12097
1402590724	12097
1402590785	12101
1402590845	12101
1402590906	12103
1402590969	12103
1402591030	12104
1402591091	12105
1402591151	12105
1402591211	12107
1402591272	12108
1402591332	12111
1402591392	12112
1402591453	12115
1402591513	12116
1402591574	12117
1402591634	12120
1402591694	12123
1402591755	12135
1402591815	12135
1402591876	12156
1402591936	12157
1402591996	12159
1402592057	12159
1402592117	12160
1402592178	12160
